label,n_trades,total_ret,ann_return,sharpe,max_drawdown,calmar,hit_rate,avg_win,avg_loss,profit_factor,split,strategy,entry_pct,hold_bars,cost_model,vpin_regime_pct
CVD,3273,-3.1842646121965807,-511.3502841950879,-130.54068777713292,-0.9588686439593604,-533.2850202334496,0.3935227619920562,0.0034382512605750206,-0.003835129589832346,0.5817185586516616,test,CVD,0.85,60.0,taker,
CVD,3273,-1.8750646121965806,-301.11028419508796,-76.86931015882345,-0.8523179369091054,-353.2839931622835,0.4390467461044913,0.003460918111111983,-0.0037300675042834966,0.7262041449060215,test,CVD,0.85,60.0,maker,
VPIN_CVD,3622,-3.362791579130187,-487.9854373249106,-136.10892835429735,-0.9655813409314651,-505.3799370793214,0.364715626725566,0.0028786817809937255,-0.0031140939642863535,0.5306988485539161,train,VPIN_CVD,0.8,,taker,0.33
VPIN_CVD,3622,-1.9139915791301871,-277.74543732491065,-77.46877455365296,-0.8542091697666576,-325.1492107030199,0.42545554942020986,0.0028392436905520626,-0.0030222326315573838,0.6956733032457031,train,VPIN_CVD,0.8,,maker,0.33
VPIN_CVD,3171,-2.964845200429663,-491.42940313649666,-131.63739378129992,-0.9487645592783983,-517.9677068779456,0.3718070009460738,0.0028833637946567166,-0.0031949453385190416,0.5341466138124059,train,VPIN_CVD,0.85,,taker,0.33
VPIN_CVD,3171,-1.6964452004296628,-281.1894031364966,-75.32117523201315,-0.8188296141306701,-343.4040468053027,0.42762535477767266,0.00288195883105536,-0.003087813429939797,0.6973001859056168,train,VPIN_CVD,0.85,,maker,0.33
VPIN_CVD,4039,-3.7061111156754434,-482.2807631589535,-135.18969985297545,-0.9755370846818371,-494.37460731310404,0.35825699430552116,0.0029227272936925663,-0.0030614573725496093,0.5329587691993708,train,VPIN_CVD,0.8,,taker,0.4
VPIN_CVD,4039,-2.0905111156754437,-272.0407631589535,-76.2566370641494,-0.8770022301106474,-310.1939240503771,0.42881901460757615,0.002807496635124663,-0.00301391213164775,0.6993409367810428,train,VPIN_CVD,0.8,,maker,0.4
VPIN_CVD,3565,-3.2617716143058106,-480.89401415964494,-129.8889256499215,-0.9618581677916548,-499.96353959725377,0.36774193548387096,0.0029226842605297827,-0.003147032244836005,0.5401687902313838,train,VPIN_CVD,0.85,,taker,0.4
VPIN_CVD,3565,-1.8357716143058103,-270.6540141596448,-73.1033410417214,-0.8417918325001421,-321.52131169507294,0.4300140252454418,0.002870529399004905,-0.0030690419207580364,0.7056309637083974,train,VPIN_CVD,0.85,,maker,0.4
VPIN_CVD,4688,-4.313173718923316,-483.57596131955955,-138.34940505995422,-0.9866915885853726,-490.0983923587168,0.3555887372013652,0.002868575202143866,-0.00301062184074715,0.5257689157659788,train,VPIN_CVD,0.8,,taker,0.5
VPIN_CVD,4688,-2.437973718923317,-273.33596131955954,-78.20047036015097,-0.9132356109994831,-299.30497456227016,0.4253412969283277,0.0027644238744844738,-0.0029510894300836515,0.6933457008464351,train,VPIN_CVD,0.8,,maker,0.5
VPIN_CVD,4143,-3.8206639884049025,-484.70697376432946,-135.18449616040692,-0.978221875492463,-495.49799069900683,0.3598841419261405,0.0028544263076682925,-0.00304548024628142,0.5269472861509952,train,VPIN_CVD,0.85,,taker,0.5
VPIN_CVD,4143,-2.163463988404902,-274.46697376432934,-76.54868109870182,-0.8858773512737824,-309.8250264211853,0.425295679459329,0.002784530231664627,-0.0029692592425862975,0.6939853922608098,train,VPIN_CVD,0.85,,maker,0.5
VPIN_CVD,1847,-1.674094264479317,-476.396288798229,-112.9766515016715,-0.8150676932449827,-584.4867766768912,0.3936112615051435,0.0038458934868537916,-0.0039911239548410925,0.6254871963965234,val,VPIN_CVD,0.8,,taker,0.33
