split,feature,threshold,direction,ret_col,label,n_trades,avg_gross_pct,avg_net_pct,hit_rate,total_net_pct,ann_return_pct,sharpe,max_drawdown_pct,profit_factor,trades_per_year,cost_bps,bars_per_year,secondary_threshold
val,mom_z_24h,1.5,trend,fwd_ret_4h,val/maker/thr=1.5,239,0.005570143309903577,-0.05442985669009649,0.4393305439330544,-13.008735748933061,-26.232937100332926,-0.9443519218706262,-25.259966793013145,0.8834874757417215,481.9585921325052,6.000000000000001,8760,
val,mom_z_24h,2.0,trend,fwd_ret_4h,val/taker/thr=2.0,131,-0.008485444762343893,-0.10848544476234398,0.44274809160305345,-14.211593263867062,-29.521048945748497,-1.3127737853783077,-23.454333754369983,0.7944359952129801,272.1199052132701,10.0,8760,
val,mom_z_24h,2.0,trend,fwd_ret_4h,val/maker/thr=2.0,131,-0.008485444762343893,-0.06848544476234394,0.46564885496183206,-8.971593263867057,-18.63625273721768,-0.8287369495597643,-21.123171162697886,0.8645360593488638,272.1199052132701,6.000000000000001,8760,
test,mom_z_24h,0.5,trend,fwd_ret_4h,test/taker/thr=0.5,812,-0.010554014715572112,-0.11055401471557219,0.4002463054187192,-89.76985994904463,-178.64304025274126,-4.044963147346485,-63.60424939842743,0.7429196831097624,1615.8892167990919,10.0,8760,
test,mom_z_24h,0.5,trend,fwd_ret_4h,test/maker/thr=0.5,812,-0.010554014715572112,-0.07055401471557217,0.4248768472906404,-57.2898599490446,-114.0074715807775,-2.58143849552695,-50.13835718478863,0.8264784245947121,1615.8892167990919,6.000000000000001,8760,
test,mom_z_24h,1.0,trend,fwd_ret_4h,test/taker/thr=1.0,491,0.04437955154513066,-0.055620448454869416,0.45010183299389,-27.309640191340883,-54.34649396533353,-1.4417797344151189,-35.55218066533533,0.8727750983255366,977.0955732122587,10.0,8760,
test,mom_z_24h,1.0,trend,fwd_ret_4h,test/maker/thr=1.0,491,0.04437955154513066,-0.015620448454869386,0.4786150712830957,-7.669640191340868,-15.262671036843143,-0.40490946496018343,-26.289893349488803,0.9624249599227553,977.0955732122587,6.000000000000001,8760,
test,mom_z_24h,1.5,trend,fwd_ret_4h,test/taker/thr=1.5,274,0.10835597609086065,0.008355976090860574,0.4744525547445255,2.2895374488957976,4.555171420113608,0.14773490751551993,-16.749494475238247,1.0189169474963702,545.1393554244212,10.0,8760,
test,mom_z_24h,1.5,trend,fwd_ret_4h,test/maker/thr=1.5,274,0.10835597609086065,0.04835597609086062,0.48905109489051096,13.24953744889581,26.36074563709048,0.8549408923536361,-13.518262079387044,1.1148396428178429,545.1393554244212,6.000000000000001,8760,
test,mom_z_24h,2.0,trend,fwd_ret_4h,test/taker/thr=2.0,125,0.0554483280294221,-0.04455167197057799,0.416,-5.568958996322248,-11.497290287743954,-0.47443418361222317,-17.088349992280747,0.9154389352547176,258.0664154498352,10.0,8760,
test,mom_z_24h,2.0,trend,fwd_ret_4h,test/maker/thr=2.0,125,0.0554483280294221,-0.00455167197057805,0.432,-0.5689589963222562,-1.174633669750565,-0.04847110512166533,-15.413423558295424,0.9909639047790693,258.0664154498352,6.000000000000001,8760,
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/taker/liq/ret=2.0/vol=1.0/fwd_ret_1h,67,-0.020272704666430465,-0.1202727046664305,0.5074626865671642,-8.058271212650844,-48.716417551791245,-3.153418399109638,-10.555009127225057,0.6017991068753971,405.04965517241385,10.0,35040,1.0
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/maker/liq/ret=2.0/vol=1.0/fwd_ret_1h,67,-0.020272704666430465,-0.08027270466643048,0.5223880597014925,-5.3782712126508425,-32.51443134489468,-2.1046622718219163,-8.748100452914064,0.7160173482043313,405.04965517241385,6.000000000000001,35040,1.0
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/taker/liq/ret=2.0/vol=1.0/fwd_ret_4h,51,-0.04263092907870584,-0.1426309290787059,0.49019607843137253,-7.274177383014001,-43.97616478586258,-2.379599945427246,-13.206511906017715,0.6868694689357717,308.32137931034487,10.0,35040,1.0
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/maker/liq/ret=2.0/vol=1.0/fwd_ret_4h,51,-0.04263092907870584,-0.10263092907870587,0.49019607843137253,-5.234177383013999,-31.64330961344877,-1.7122552227088943,-12.053243034037454,0.7641252584744805,308.32137931034487,6.000000000000001,35040,1.0
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/taker/liq/ret=2.0/vol=1.5/fwd_ret_1h,58,-0.010274279810950427,-0.11027427981095046,0.5172413793103449,-6.395908229035127,-38.66657347291167,-2.591476256829986,-8.223156268818189,0.6312978948501435,350.64000000000004,10.0,35040,1.5
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/maker/liq/ret=2.0/vol=1.5/fwd_ret_1h,58,-0.010274279810950427,-0.07027427981095041,0.5344827586206896,-4.075908229035124,-24.64097347291166,-1.651465127753394,-6.740787617766564,0.749161334034249,350.64000000000004,6.000000000000001,35040,1.5
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/taker/liq/ret=2.0/vol=1.5/fwd_ret_4h,46,-0.017474836664466625,-0.1174748366644667,0.5,-5.403842486565469,-32.66902292222959,-1.7883621325159158,-9.957226516158302,0.745509158305848,278.0937931034483,10.0,35040,1.5
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/maker/liq/ret=2.0/vol=1.5/fwd_ret_4h,46,-0.017474836664466625,-0.07747483666446668,0.5,-3.5638424865654676,-21.545271198091648,-1.1794275952843,-8.874515482267809,0.8245617038411426,278.0937931034483,6.000000000000001,35040,1.5
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/taker/liq/ret=2.0/vol=2.0/fwd_ret_1h,48,-0.022140126781700076,-0.12214012678170012,0.5208333333333334,-5.862726085521606,-35.44321163150511,-2.464210741143918,-8.702778859330973,0.6075214623338221,290.1848275862069,10.0,35040,2.0
train,liquidation_proxy,2.0,reversal,fwd_ret_1h,train/maker/liq/ret=2.0/vol=2.0/fwd_ret_1h,48,-0.022140126781700076,-0.08214012678170006,0.5416666666666666,-3.9427260855216026,-23.83581852805681,-1.6571997101014557,-7.304460802944246,0.7191736959903243,290.1848275862069,6.000000000000001,35040,2.0
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/taker/liq/ret=2.0/vol=2.0/fwd_ret_4h,38,-0.05132170552150153,-0.1513217055215016,0.5263157894736842,-5.75022480981706,-34.76308322955611,-2.0021351088208124,-11.13128751453647,0.6957083395229828,229.7296551724138,10.0,35040,2.0
train,liquidation_proxy,2.0,reversal,fwd_ret_4h,train/maker/liq/ret=2.0/vol=2.0/fwd_ret_4h,38,-0.05132170552150153,-0.11132170552150156,0.5263157894736842,-4.230224809817059,-25.57389702265955,-1.4728957371336286,-10.238142105502668,0.7672770281699681,229.7296551724138,6.000000000000001,35040,2.0
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/taker/liq/ret=2.5/vol=1.0/fwd_ret_1h,50,0.14091230440944713,0.0409123044094471,0.58,2.045615220472355,12.366802084593562,1.2111680513913115,-4.0185873588412635,1.2065572208183881,302.2758620689655,10.0,35040,1.0
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/maker/liq/ret=2.5/vol=1.0/fwd_ret_1h,50,0.14091230440944713,0.08091230440944713,0.6,4.0456152204723566,24.457836567352196,2.395328238771654,-3.6724315667555185,1.445286717375299,302.2758620689655,6.000000000000001,35040,1.0
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/taker/liq/ret=2.5/vol=1.0/fwd_ret_4h,42,0.15746245486464042,0.05746245486464034,0.5238095238095238,2.4134231043148944,14.590390987878873,0.910571275541866,-3.5165064706120575,1.1679381278619476,253.91172413793106,10.0,35040,1.0
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/maker/liq/ret=2.5/vol=1.0/fwd_ret_4h,42,0.15746245486464042,0.09746245486464042,0.5238095238095238,4.093423104314898,24.746859953396132,1.544426043972367,-3.3233463878572067,1.3016322569428376,253.91172413793106,6.000000000000001,35040,1.0
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/taker/liq/ret=2.5/vol=1.5/fwd_ret_1h,47,0.14577684664273233,0.045776846642732294,0.574468085106383,2.1515117922084177,13.00700163482689,1.305788387322733,-3.2748526852794058,1.235614386645123,284.1393103448276,10.0,35040,1.5
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/maker/liq/ret=2.5/vol=1.5/fwd_ret_1h,47,0.14577684664273233,0.08577684664273234,0.5957446808510638,4.03151179220842,24.372574048620006,2.4467917399685155,-2.9648364524469173,1.4826117904685367,284.1393103448276,6.000000000000001,35040,1.5
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/taker/liq/ret=2.5/vol=1.5/fwd_ret_4h,39,0.15354661979338258,0.0535466197933825,0.5128205128205128,2.0883181719419173,12.624963513960585,0.7892753422731054,-3.38793180701934,1.1468525187003262,235.77517241379311,10.0,35040,1.5
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/maker/liq/ret=2.5/vol=1.5/fwd_ret_4h,39,0.15354661979338258,0.09354661979338258,0.5128205128205128,3.648318171941921,22.055970410512334,1.378873972639423,-3.271927736666036,1.271038565452273,235.77517241379311,6.000000000000001,35040,1.5
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/taker/liq/ret=2.5/vol=2.0/fwd_ret_1h,40,0.15872069880543904,0.05872069880543901,0.6,2.3488279522175604,14.19987988216492,1.5896189069152662,-2.77164547960167,1.3464919559543664,241.82068965517243,10.0,35040,2.0
train,liquidation_proxy,2.5,reversal,fwd_ret_1h,train/maker/liq/ret=2.5/vol=2.0/fwd_ret_1h,40,0.15872069880543904,0.09872069880543904,0.625,3.948827952217562,23.872707468371832,2.6724526873388936,-2.4990245958195434,1.6409482718445982,241.82068965517243,6.000000000000001,35040,2.0
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/taker/liq/ret=2.5/vol=2.0/fwd_ret_4h,34,0.15954106153698494,0.05954106153698489,0.5588235294117647,2.0243960922574864,12.238521479123534,0.814105684195806,-4.298691273624766,1.1665769681110527,205.54758620689657,10.0,35040,2.0
train,liquidation_proxy,2.5,reversal,fwd_ret_4h,train/maker/liq/ret=2.5/vol=2.0/fwd_ret_4h,34,0.15954106153698494,0.09954106153698497,0.5588235294117647,3.384396092257489,20.460424927399416,1.361026187915823,-3.8766777663609697,1.2929473178793727,205.54758620689657,6.000000000000001,35040,2.0
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/taker/liq/ret=3.0/vol=1.0/fwd_ret_1h,40,0.11692575689229655,0.016925756892296542,0.6,0.6770302756918617,4.177998871323378,0.5854749566297678,-1.9905273111059163,1.105960301392393,246.84266103484688,10.0,35040,1.0
train,liquidation_proxy,3.0,reversal,fwd_ret_1h,train/maker/liq/ret=3.0/vol=1.0/fwd_ret_1h,40,0.11692575689229655,0.05692575689229658,0.625,2.277030275691863,14.051705312717264,1.969105739832702,-1.7157162316089325,1.3945297509884598,246.84266103484688,6.000000000000001,35040,1.0
train,liquidation_proxy,3.0,reversal,fwd_ret_4h,train/taker/liq/ret=3.0/vol=1.0/fwd_ret_4h,34,0.0933781429803173,-0.006621857019682785,0.5294117647058824,-0.2251431386692147,-1.3893732865711623,-0.09560178563547292,-4.041766216488918,0.9817013205038092,209.81626187961987,10.0,35040,1.0
